right ankle accuracy score,right ankle latitude,right ankle longitude,right knee accuracy score,right knee latitude,right knee longitude,left knee accuracy score,left knee latitude,left knee longitude,left ear accuracy score,left ear latitude,left ear longitude,right shoulder accuracy score,right shoulder latitude,right shoulder longitude,left ankle accuracy score,left ankle latitude,left ankle longitude,left eye accuracy score,left eye latitude,left eye longitude,right elbow accuracy score,right elbow latitude,right elbow longitude,left wrist accuracy score,left wrist latitude,left wrist longitude,right eye accuracy score,right eye latitude,right eye longitude,left shoulder accuracy score,left shoulder latitude,left shoulder longitude,left hip accuracy score,left hip latitude,left hip longitude,right wrist accuracy score,right wrist latitude,right wrist longitude,nose accuracy score,nose latitude,nose longitude,left elbow accuracy score,left elbow latitude,left elbow longitude,right hip accuracy score,right hip latitude,right hip longitude,right ear accuracy score,right ear latitude,right ear longitude
0.7089135050773621,480.0,314.43973,0.8911044001579285,383.7614,309.99512,0.6818528175354004,386.61993,366.45065,0.9885674715042114,117.71837,349.62585,0.9952887296676636,173.455,292.21915,0.35935619473457336,476.09528,369.1176,0.9973371624946594,106.61105,332.53235,0.972366213798523,229.53882,282.73093,0.6152952313423157,70.3341,406.84637,0.988436222076416,105.01961,314.58823,0.9468948841094971,165.5703,368.63278,0.8843693733215332,276.2987,359.3497,0.9613980054855347,290.08313,277.59454,0.9970480799674988,112.84814,321.02307,0.7295060753822327,127.71788,419.72516,0.9545236825942993,273.18887,307.82516,0.15105096995830536,114.95034,308.323
0.7031230330467224,480.0,314.6441,0.8890106081962585,384.1591,310.01422,0.695135772228241,386.77237,366.45648,0.987514317035675,117.603584,349.62003,0.9954999089241028,173.62888,291.57437,0.37406715750694275,475.15656,368.1388,0.9973113536834717,106.61152,332.5613,0.9694133400917053,230.1101,283.2103,0.596695065498352,70.32833,406.80728,0.9882301092147827,105.01961,314.9804,0.9330119490623474,166.0462,368.28027,0.8588289022445679,276.68533,359.45203,0.9639246463775635,289.95856,277.51395,0.9969214200973511,113.17888,321.5111,0.7310389876365662,127.252464,419.1471,0.9403935670852661,275.6159,307.79193,0.1586725264787674,115.2,308.2615
0.7375515699386597,479.67758,314.529,0.8996649980545044,383.0088,310.13785,0.7436501979827881,385.77454,366.05463,0.9867336750030518,117.89376,349.7683,0.9960474371910095,174.30186,290.91025,0.41144564747810364,474.50015,368.10526,0.9972955584526062,106.666664,332.6179,0.9752395749092102,231.79634,282.66248,0.6484568119049072,69.065765,404.20105,0.9903748631477356,105.411766,314.58823,0.9328181743621826,165.36603,369.18494,0.8560858368873596,278.05746,359.34705,0.9736536145210266,290.63406,277.01657,0.9971625208854675,113.50519,321.47736,0.7355506420135498,127.70418,420.1739,0.948697566986084,276.84808,306.0913,0.21141402423381805,115.31256,308.1158
0.7269610166549683,478.88904,313.90186,0.8787358999252319,382.96445,310.39658,0.7174327373504639,386.31378,366.72855,0.987174391746521,118.00083,349.67444,0.9959607720375061,174.32828,290.85834,0.397739052772522,474.08658,367.53424,0.9973071813583374,107.003235,333.01535,0.9739300012588501,232.42296,283.10657,0.6481377482414246,69.75813,404.9893,0.9910344481468201,105.411766,314.58823,0.9327872395515442,165.43465,369.011,0.8574438095092773,277.50098,359.2789,0.970641016960144,291.7995,277.1456,0.9972694516181946,113.8896,321.55493,0.7343354821205139,127.297424,419.89862,0.9416142702102661,276.43475,306.98538,0.21486975252628326,114.95813,307.88977
0.7490426301956177,480.0,314.52676,0.8757367730140686,383.27975,311.2038,0.7356231808662415,386.3952,366.43753,0.988625168800354,118.05052,349.3282,0.9960564374923706,174.15916,291.55658,0.37673893570899963,474.14554,367.44873,0.997298538684845,106.9012,332.70267,0.97447669506073,233.9028,282.53897,0.682445764541626,69.66361,402.81567,0.9905205965042114,105.01961,314.9804,0.9420778751373291,164.91698,369.52063,0.8743873238563538,277.72247,359.51624,0.975296139717102,291.9304,277.23737,0.9972585439682007,113.8896,321.55493,0.7248745560646057,127.788795,419.9096,0.9469608068466187,280.34387,306.1315,0.22282828390598297,115.087425,308.33133
0.7407521605491638,478.33844,314.8498,0.8787109851837158,383.59253,311.5359,0.743110716342926,385.87085,366.8259,0.9884541630744934,117.98387,349.44073,0.9962575435638428,174.50438,290.22064,0.3398948311805725,471.84296,367.16605,0.9973057508468628,107.004906,332.98984,0.9611018300056458,232.61597,283.18918,0.6443401575088501,69.73229,401.82864,0.9916936755180359,105.01961,314.9804,0.9538137912750244,163.80328,370.00916,0.8017986416816711,278.72095,360.7733,0.9650838375091553,292.83307,277.3553,0.9970136880874634,114.16628,322.39972,0.7343559265136719,127.29814,420.4345,0.9101116061210632,280.89386,307.16367,0.23673541843891144,114.76416,307.85043
0.7156091332435608,478.16333,314.8412,0.8928160667419434,383.2199,311.11234,0.7358804941177368,385.68686,367.21027,0.9563284516334534,119.46249,350.78723,0.9964303374290466,175.0197,291.3931,0.2999885678291321,470.64642,366.03796,0.9974687099456787,108.94038,338.5554,0.9645374417304993,231.88937,284.52863,0.6079322099685669,69.94076,400.54736,0.9965938925743103,107.76471,319.29413,0.9574546813964844,163.19792,369.74252,0.8621264100074768,278.60986,360.92523,0.967549204826355,292.04202,279.05676,0.9974687099456787,116.39526,328.8071,0.7563049793243408,126.43268,420.4457,0.944986879825592,282.8058,307.42294,0.885812520980835,114.27631,308.8682
0.6984453797340393,475.88107,314.60333,0.9214569926261902,383.12268,311.06638,0.8341567516326904,385.24475,367.2367,0.9491402506828308,120.02008,353.61935,0.9958017468452454,174.49612,291.5517,0.2861674129962921,468.87112,365.64096,0.9974687099456787,109.07456,342.35202,0.9654302597045898,230.62837,284.05798,0.5991569757461548,69.77611,400.78256,0.9974687099456787,105.803925,323.13727,0.9636569619178772,164.19753,369.41986,0.8554513454437256,277.3688,360.51855,0.9664760231971741,292.12616,279.29562,0.9974687099456787,115.973854,332.0006,0.7775934934616089,126.92201,421.2553,0.9331945180892944,275.06683,309.59338,0.9588969349861145,113.46389,310.83
0.7002914547920227,476.78043,315.03275,0.9148105978965759,382.9593,311.44815,0.761860728263855,385.9864,367.30365,0.9295167326927185,119.21273,354.58838,0.9960142374038696,174.07753,291.84753,0.24604861438274384,467.9215,366.26556,0.9974687099456787,109.34692,343.63364,0.9584174156188965,232.00201,284.07822,0.6352655291557312,69.50182,401.3036,0.9974687099456787,106.98039,325.09805,0.9652630686759949,165.50963,369.24237,0.8018895387649536,279.26642,362.082,0.9601683616638184,292.84418,279.36548,0.9970487952232361,116.09153,334.06088,0.7815195322036743,127.48645,421.98306,0.9132184386253357,280.8695,308.7907,0.9734870791435242,113.336006,311.83264
0.6953397989273071,475.9556,314.87967,0.917035698890686,382.33127,311.31958,0.8262782096862793,385.1418,367.21426,0.9200118184089661,119.76973,354.1463,0.9960795044898987,174.49875,292.01328,0.2612363398075104,468.9151,365.45148,0.9974687099456787,109.96212,343.69403,0.9485997557640076,230.66824,284.36838,0.6314011812210083,69.25244,401.90244,0.9974687099456787,106.98039,325.09805,0.9647126793861389,165.89084,368.75073,0.7955635190010071,278.36722,361.1333,0.9602627754211426,292.2224,279.193,0.9969300627708435,117.33333,334.09525,0.7906635999679565,128.43669,422.19122,0.9078622460365295,279.51254,308.7275,0.9749646186828613,113.52129,311.57065
